bank_entry_id,value_date,transaction_type,credit_amount,debit_amount,running_balance,remittance_info,reversal_indicator
CAMT-20260804-10016,2026-08-04,CRDT,63497.49,0.0,10688646.89,ACH-CR-RAZORPAYPAYMENT-INV-10016-setl_ONvfWpRtoZmjbc,False
CAMT-20260814-10027,2026-08-14,CRDT,82286.63,0.0,11268467.02,UPI-MERCHANT-SETTLE-INV-10027/setl_OLQZmBhIoPjrje,False
CAMT-20260802-10044,2026-08-02,CRDT,81745.31,0.0,12089675.12,ACH-CR-RAZORPAYPAYMENT-INV-10044-setl_ArnWGhwBhsRRLF,False
CAMT-20260817-10002,2026-08-17,CRDT,22758.6,0.0,10026982.51,UPI/RPAY/setl_DIhyfJsONxKmTe/INV-10002/DIRECT,False
CAMT-20260823-10050,2026-08-23,CRDT,88388.95,0.0,12468143.66,CMS/RAZORPAYPAYMENT/INV-10050/UTR888059296222/NODAL,False
CAMT-20260814-10071,2026-08-14,CRDT,38857.31,0.0,13277731.74,UPI-MERCHANT-SETTLE-INV-10071/setl_KaqPxSpdQhDtkz,False
CAMT-20260820-10031,2026-08-20,CRDT,46766.6,0.0,11403968.12,NEFT-RAZORPAY-INV-10031-UTR675339636057-UPI,False
CAMT-20260808-10048,2026-08-08,CRDT,90056.93,0.0,12328681.05,IMPS-P2A-INV-10048-SETTLEMENT-setl_cCZKPmuMEGjdCg,False
CAMT-20260802-10041,2026-08-02,CRDT,35906.12,0.0,11869814.0,IMPS-P2A-INV-10041-SETTLEMENT-setl_BCoAvDzAUguBuQ,False
CAMT-20260808-10067,2026-08-08,CRDT,27246.15,0.0,13044861.66,CMS/RAZORPAYPAYMENT/INV-10067/UTR757584419866/NODAL,False
CAMT-20260820-10012,2026-08-20,CRDT,80816.98,0.0,10490482.32,ACH-CR-RAZORPAYPAYMENT-INV-10012-setl_JaheSjIcxLJjBi,False
CAMT-20260812-10080,2026-08-12,CRDT,91352.44,0.0,13785191.58,UPI/RPAY/setl_nGDxdNOQNEQFba/INV-10080/DIRECT,False
CAMT-20260811-10042,2026-08-11,CRDT,90675.48,0.0,11960489.48,NEFT-RAZORPAY-INV-10042-UTR585149368998-UPI,False
CAMT-20260823-10094,2026-08-23,CRDT,35015.06,0.0,14320526.18,NEFT-RAZORPAY-INV-10094-UTR825449481260-UPI,False
CAMT-20260815-10074,2026-08-15,CRDT,86085.46,0.0,13483474.19,UPI-MERCHANT-SETTLE-INV-10074/setl_RQIiPwhlIzHiUo,False
CAMT-20260802-10019,2026-08-02,CRDT,36426.83,0.0,10832545.37,CMS/RAZORPAYPAYMENT/INV-10019/UTR729806990162/NODAL,False
CAMT-20260802-10063,2026-08-02,CRDT,64622.9,0.0,12910256.51,UPI/RPAY/setl_fzGDpnLwddsFMP/INV-10063/DIRECT,False
CAMT-20260823-10006,2026-08-23,CRDT,68589.82,0.0,10159314.22,RTGS-RPAY-SETTLE-INV-10006-UTR465787133150-CORP,False
CAMT-20260802-10085,2026-08-02,CRDT,14318.46,0.0,13952346.85,CMS-DIRECT-PAYOUT-REF2127-UNTAGGED-CORP,False
CAMT-20260812-10055,2026-08-12,CRDT,2668.75,0.0,12623577.94,NEFT-RAZORPAY-INV-10055-UTR486874034505-UPI,False
CAMT-20260818-10084,2026-08-18,CRDT,58357.29,0.0,13938028.39,ACH-CR-RPAY-BULK-SETTLEMENT-37938-HDFC,False
CAMT-20260806-10073,2026-08-06,CRDT,37244.5,0.0,13397388.73,RTGS-RPAY-SETTLE-INV-10073-UTR106518017046-CORP,False
CAMT-20260819-10018,2026-08-19,CRDT,27851.55,0.0,10796118.54,NODAL/SETTLE/INV-10018/RAZORPAY_X/UTR587603669096,False
CAMT-20260818-10081,2026-08-18,CRDT,8174.89,0.0,13793366.47,CMS-DIRECT-PAYOUT-REF4853-UNTAGGED-CORP,False
CAMT-20260820-10056,2026-08-20,CRDT,8268.23,0.0,12631846.17,NEFT-RAZORPAY-INV-10056-UTR511544796275-UPI,False
CAMT-20260807-10054,2026-08-07,CRDT,3862.83,0.0,12620909.19,CMS/RAZORPAYPAYMENT/INV-10054/UTR065405153195/NODAL,False
CAMT-20260812-10011,2026-08-12,CRDT,10374.6,0.0,10409665.34,UPI/RPAY/setl_aQJtQgiqhgVJjr/INV-10011/DIRECT,False
CAMT-20260822-10091,2026-08-22,CRDT,12061.52,0.0,14238290.34,IMPS-P2A-INV-10091-SETTLEMENT-setl_wwDNlRTZtNLfRi,False
CAMT-20260805-10082,2026-08-05,CRDT,59602.48,0.0,13852968.95,UPI/RPAY/SETTLEMENT/BATCH-423/INTERBANK,False
CAMT-20260807-10010,2026-08-07,CRDT,91020.82,0.0,10399290.74,NODAL/SETTLE/INV-10010/RAZORPAY_X/UTR107991183842,False
CAMT-20260822-10072,2026-08-22,CRDT,82412.49,0.0,13360144.23,NEFT-RAZORPAY-INV-10072-UTR883982258713-UPI,False
CAMT-20260810-10020,2026-08-10,CRDT,67269.29,0.0,10899814.66,UPI/RPAY/setl_AqfEbVIdwoPeXP/INV-10020/DIRECT,False
CAMT-20260808-10089,2026-08-08,CRDT,47433.46,0.0,14193208.06,NEFT-BULK-CR-SETTLE-987204/NODAL-POOL,False
CAMT-20260814-10096,2026-08-14,CRDT,34892.11,0.0,14376905.41,NEFT-BANK-DIRECT-UTR277063242415-EXTPAY,False
CAMT-20260803-10022,2026-08-03,CRDT,44990.2,0.0,10995260.34,ACH-CR-RAZORPAYPAYMENT-INV-10022-setl_lUHPrNZIXEDBUL,False
CAMT-20260802-10088,2026-08-02,CRDT,27328.38,0.0,14145774.6,UPI/RPAY/SETTLEMENT/BATCH-834/INTERBANK,False
CAMT-20260816-10068,2026-08-16,CRDT,43211.16,0.0,13088072.82,UPI/RPAY/setl_EnmIrJSrigNVLp/INV-10068/DIRECT,False
CAMT-20260816-10024,2026-08-16,CRDT,76576.75,0.0,11137506.22,NODAL/SETTLE/INV-10024/RAZORPAY_X/UTR498941343524,False
CAMT-20260817-10046,2026-08-17,CRDT,70067.41,0.0,12167129.57,UPI/RPAY/setl_ztVvovXkeGOhHG/INV-10046/DIRECT,False
CAMT-20260814-10093,2026-08-14,CRDT,41920.16,0.0,14285511.12,NEFT-RAZORPAY-INV-10093-UTR783613407451-UPI,False
CAMT-20260816-10065,2026-08-16,CRDT,25125.04,0.0,12973894.45,CMS/RAZORPAYPAYMENT/INV-10065/UTR169409749930/NODAL,False
CAMT-20260808-10001,2026-08-08,CRDT,4223.91,0.0,10004223.91,ACH-CR-RAZORPAYPAYMENT-INV-10001-setl_LBcbfnoGMbJmTP,False
CAMT-20260809-10070,2026-08-09,CRDT,88152.13,0.0,13238874.43,CMS/RAZORPAYPAYMENT/INV-10070/UTR329668516122/NODAL,False
CAMT-20260804-10060,2026-08-04,CRDT,74969.61,0.0,12793722.73,RTGS-RPAY-SETTLE-INV-10060-UTR535841438424-CORP,False
CAMT-20260816-10087,2026-08-16,CRDT,86561.09,0.0,14118446.22,ACH-CR-RPAY-BULK-SETTLEMENT-24029-HDFC,False
CAMT-20260804-10013,2026-08-04,CRDT,69865.06,0.0,10560347.38,UPI/RPAY/setl_ZQVZprkYSgycEo/INV-10013/DIRECT,False
CAMT-20260818-10037,2026-08-18,CRDT,12082.31,0.0,11636573.85,RTGS-RPAY-SETTLE-INV-10037-UTR113826758692-CORP,False
CAMT-20260821-10078,2026-08-21,CRDT,7316.37,0.0,13606336.14,UPI-MERCHANT-SETTLE-INV-10078/setl_pJuXsyDIPwtqxG,False
CAMT-20260814-10008,2026-08-14,CRDT,72569.09,0.0,10274626.62,IMPS-P2A-INV-10008-SETTLEMENT-setl_rDpeCZJgdPIafW,False
CAMT-20260812-10033,2026-08-12,CRDT,57466.04,0.0,11477648.4,RTGS-RPAY-SETTLE-INV-10033-UTR238692221969-CORP,False
CAMT-20260813-10058,2026-08-13,CRDT,64214.93,0.0,12704448.12,CMS/RAZORPAYPAYMENT/INV-10058/UTR473121727155/NODAL,False
CAMT-20260804-10057,2026-08-04,CRDT,8387.02,0.0,12640233.19,CMS/RAZORPAYPAYMENT/INV-10057/UTR135569092755/NODAL,False
CAMT-20260808-10092,2026-08-08,CRDT,5300.62,0.0,14243590.96,NODAL/SETTLE/INV-10092/RAZORPAY_X/UTR876767721903,False
CAMT-20260806-10051,2026-08-06,CRDT,38183.37,0.0,12506327.03,NODAL/SETTLE/INV-10051/RAZORPAY_X/UTR597746886239,False
CAMT-20260822-10047,2026-08-22,CRDT,71494.55,0.0,12238624.12,IMPS-P2A-INV-10047-SETTLEMENT-setl_RKPONuOujCeECO,False
CAMT-20260810-10064,2026-08-10,CRDT,38512.9,0.0,12948769.41,NODAL/SETTLE/INV-10064/RAZORPAY_X/UTR239868000257,False
CAMT-20260822-10028,2026-08-22,CRDT,26633.86,0.0,11295100.88,CMS/RAZORPAYPAYMENT/INV-10028/UTR874296717565/NODAL,False
CAMT-20260810-10039,2026-08-10,CRDT,72862.48,0.0,11753632.63,UPI/RPAY/setl_ZlhQbiawYYpLub/INV-10039/DIRECT,False
CAMT-20260806-10007,2026-08-06,CRDT,42743.31,0.0,10202057.53,ACH-CR-RAZORPAYPAYMENT-INV-10007-setl_eGprQFnIiUKKEp,False
CAMT-20260822-10003,2026-08-22,CRDT,10085.31,0.0,10037067.82,RTGS-RPAY-SETTLE-INV-10003-UTR056413953767-CORP,False
CAMT-20260810-10017,2026-08-10,CRDT,79620.1,0.0,10768266.99,UPI/RPAY/setl_DdJphDiZDQHJMu/INV-10017/DIRECT,False
CAMT-20260819-10062,2026-08-19,CRDT,41392.81,0.0,12845633.61,UPI-MERCHANT-SETTLE-INV-10062/setl_uUwziWxGJgupDh,False
CAMT-20260805-10038,2026-08-05,CRDT,44196.3,0.0,11680770.15,ACH-CR-RAZORPAYPAYMENT-INV-10038-setl_xgRxIPwdzrmhDf,False
CAMT-20260812-10099,2026-08-12,CRDT,82408.33,0.0,14637792.04,NEFT-BANK-DIRECT-UTR109104300684-EXTPAY,False
CAMT-20260821-10034,2026-08-21,CRDT,56062.57,0.0,11533710.97,UPI-MERCHANT-SETTLE-INV-10034/setl_DsRIkeCwLtOBSq,False
CAMT-20260818-10015,2026-08-18,CRDT,55693.75,0.0,10625149.4,UPI/RPAY/setl_SsJimAQyRVlNKt/INV-10015/DIRECT,False
CAMT-20260804-10079,2026-08-04,CRDT,87503.0,0.0,13693839.14,IMPS-P2A-INV-10079-SETTLEMENT-setl_yKpFJPRvqWFUPV,False
CAMT-20260806-10076,2026-08-06,CRDT,19660.5,0.0,13544474.39,CMS/RAZORPAYPAYMENT/INV-10076/UTR856624628733/NODAL,False
CAMT-20260822-10069,2026-08-22,CRDT,62649.48,0.0,13150722.3,NEFT-RAZORPAY-INV-10069-UTR672400499154-UPI,False
CAMT-20260812-10077,2026-08-12,CRDT,54545.38,0.0,13599019.77,NEFT-RAZORPAY-INV-10077-UTR990139837354-UPI,False
CAMT-20260803-10066,2026-08-03,CRDT,43721.06,0.0,13017615.51,RTGS-RPAY-SETTLE-INV-10066-UTR970283857865-CORP,False
CAMT-20260810-10083,2026-08-10,CRDT,26702.15,0.0,13879671.1,NEFT-BULK-CR-SETTLE-237235/NODAL-POOL,False
CAMT-20260820-10075,2026-08-20,CRDT,41339.7,0.0,13524813.89,UPI-MERCHANT-SETTLE-INV-10075/setl_negMcCMRTdpVcz,False
CAMT-20260820-10009,2026-08-20,CRDT,33643.3,0.0,10308269.92,IMPS-P2A-INV-10009-SETTLEMENT-setl_msndLVIdVuddLE,False
CAMT-20260812-10036,2026-08-12,CRDT,65399.06,0.0,11624491.54,ACH-CR-RAZORPAYPAYMENT-INV-10036-setl_ZsVvZhDejWoRUR,False
CAMT-20260820-10097,2026-08-20,CRDT,90382.26,0.0,14467287.67,NEFT-BANK-DIRECT-UTR271361115542-EXTPAY,False
CAMT-20260814-10052,2026-08-14,CRDT,85664.11,0.0,12591991.14,UPI-MERCHANT-SETTLE-INV-10052/setl_krCGjBfoCwbAdz,False
CAMT-20260822-10025,2026-08-22,CRDT,26899.9,0.0,11164406.12,CMS/RAZORPAYPAYMENT/INV-10025/UTR671902294131/NODAL,False
CAMT-20260820-10100,2026-08-20,CRDT,83971.71,0.0,14721763.75,NEFT-BANK-DIRECT-UTR161799042102-EXTPAY,False
CAMT-20260807-10098,2026-08-07,CRDT,88096.04,0.0,14555383.71,NEFT-BANK-DIRECT-UTR234138999404-EXTPAY,False
CAMT-20260815-10030,2026-08-15,CRDT,35665.67,0.0,11357201.52,IMPS-P2A-INV-10030-SETTLEMENT-setl_aJAfohDhPjFTsG,False
CAMT-20260818-10040,2026-08-18,CRDT,80275.25,0.0,11833907.88,CMS/RAZORPAYPAYMENT/INV-10040/UTR212499856984/NODAL,False
CAMT-20260808-10045,2026-08-08,CRDT,7387.04,0.0,12097062.16,UPI/RPAY/setl_oGJQZwezVcBbDe/INV-10045/DIRECT,False
CAMT-20260818-10059,2026-08-18,CRDT,14305.0,0.0,12718753.12,UPI-MERCHANT-SETTLE-INV-10059/setl_GohmYipYFbxJKx,False
CAMT-20260809-10026,2026-08-09,CRDT,21774.27,0.0,11186180.39,UPI-MERCHANT-SETTLE-INV-10026/setl_LBtKNdNVgWnOnq,False
CAMT-20260806-10029,2026-08-06,CRDT,26434.97,0.0,11321535.85,RTGS-RPAY-SETTLE-INV-10029-UTR038597703482-CORP,False
CAMT-20260810-10061,2026-08-10,CRDT,10518.07,0.0,12804240.8,RTGS-RPAY-SETTLE-INV-10061-UTR690784473647-CORP,False
CAMT-20260814-10005,2026-08-14,CRDT,48998.04,0.0,10090724.4,NEFT-RAZORPAY-INV-10005-UTR288095701543-UPI,False
CAMT-20260814-10049,2026-08-14,CRDT,51073.66,0.0,12379754.71,RTGS-RPAY-SETTLE-INV-10049-UTR925462914865-CORP,False
